gene	gm12878	hela	huvec	nhek	k562
DYDC2	0	0	0	2	1
FAM213A	1	1	1	1	1
TSPAN14	1	1	1	1	1
NRG3	0	0	1	0	0
GHITM	2	2	2	2	1
C10orf99	2	0	0	2	0
CDHR1	1	0	2	1	2
CCSER2	2	2	1	1	1
GRID1	0	1	0	0	0
OPN4	0	1	0	0	0
LDB3	0	1	0	0	0
BMPR1A	1	1	0	1	1
SNCG;MMRN2	0	1	1	1	1
ADIRF	0	1	1	1	2
FAM25A	0	0	0	1	0
FAM35A;GLUD1	1	1	1	1	1
MINPP1	2	1	1	2	2
PAPSS2	0	1	2	2	2
ATAD1	1	1	2	2	2
PTEN	1	1	2	2	2
RNLS	2	1	2	1	2
ANKRD22	1	1	0	1	0
ACTA2;FAS	1	1	2	1	1
CH25H	0	1	2	1	2
LIPA	1	1	2	1	1
IFIT2	1	1	2	1	1
IFIT3	1	1	2	1	1
IFIT1B	0	0	0	0	2
IFIT1	1	1	2	1	1
IFIT5	1	1	2	1	1
PANK1	1	2	2	1	1
KIF20B	1	2	1	2	2
HTR7	2	2	2	1	1
RPP30	1	2	2	1	1
ANKRD1	0	1	2	0	2
PCGF5	1	1	2	1	1
HECTD2	1	1	2	1	1
PPP1R3C	0	1	2	1	1
TNKS2	2	1	2	1	1
FGFBP3	2	1	0	2	1
BTAF1	1	1	1	1	1
CPEB3;MARCH5	1	1	1	2	2
IDE	1	1	1	2	1
KIF11	1	1	1	2	1
EXOC6	1	1	1	2	1
CYP26A1	0	0	0	0	2
MYOF	1	1	1	1	0
CEP55	1	1	1	1	1
FFAR4	0	0	0	1	1
FRA10AC1	1	1	1	1	1
SLC35G1	2	1	1	1	2
PLCE1	0	2	2	0	2
NOC3L	1	2	1	2	1
TBC1D12	2	1	1	2	1
HELLS	2	2	1	2	1
LARP4B	2	2	1	1	2
PDLIM1	1	1	1	2	1
SORBS1	1	1	1	2	1
ALDH18A1	1	1	1	2	1
TCTN3	1	1	1	2	1
ENTPD1	1	2	1	0	1
CCNJ	1	2	1	2	1
BLNK	1	1	0	1	0
OPALIN	1	0	0	0	0
TLL2	1	2	2	2	1
TM9SF3	1	1	1	2	1
PIK3AP1	1	0	2	0	1
LCOR	1	2	1	2	1
ARHGAP19	1	1	1	1	1
FRAT1	1	1	1	1	1
FRAT2	2	1	1	1	1
RRP12	1	1	1	1	1
PGAM1	2	1	1	1	1
EXOSC1;ZDHHC16	2	1	1	1	1
MMS19;UBTD1	2	1	1	1	1
ANKRD2	0	1	0	1	1
HOGA1	2	1	1	1	2
MORN4	2	1	1	1	1
PI4K2A	2	1	1	1	1
AVPI1	2	1	1	1	1
MARVELD1	0	1	1	1	1
ZFYVE27	2	1	1	1	1
SFRP5	0	0	0	0	1
GOLGA7B	0	0	0	1	0
CRTAC1	0	0	2	0	0
R3HCC1L	2	1	1	2	2
PGR	2	2	2	2	2
TRPC6	0	0	0	2	0
C11orf70	0	1	1	1	0
YAP1	0	2	1	1	0
BIRC3	1	1	1	1	1
BIRC2	1	1	1	1	1
TMEM123	1	1	1	1	1
MMP7	1	1	1	1	0
MMP8	0	0	0	1	0
MMP10	0	1	1	1	0
MMP1	1	1	1	1	1
MMP3	0	1	0	1	0
DCUN1D5	2	1	1	2	1
DYNC2H1	2	1	1	1	2
MUC6	0	0	0	2	0
SBF2	1	2	1	1	1
ADM	1	2	1	1	1
PDGFD	2	0	2	1	1
AMPD3	1	1	1	1	1
CASP12	0	0	1	0	0
CASP1	1	1	1	2	1
CARD16	1	1	1	1	1
CARD17	0	0	0	2	1
CARD18	0	0	0	1	0
MTRNR2L8	1	1	1	1	1
GRIA4	0	0	0	0	2
RNF141	1	1	1	2	1
MSANTD4	2	2	2	2	2
LYVE1	0	0	1	0	1
AASDHPPT;KBTBD3	2	2	2	2	2
GUCY1A2	0	0	2	0	2
MUC2	0	1	0	2	1
MRVI1	0	0	0	0	1
CWF19L2	2	2	1	1	1
ALKBH8	2	2	2	2	1
ELMOD1	0	2	1	2	0
CTR9	1	1	1	1	1
SLC35F2	2	2	1	1	2
RAB39A	2	0	1	0	1
CUL5	1	1	1	2	2
ACAT1	2	2	2	2	2
ATM;NPAT	1	1	2	2	1
EIF4G2	1	1	1	1	1
C11orf65	2	2	1	2	2
KDELC2	2	2	2	2	2
EXPH5	2	1	1	2	1
DDX10	2	2	1	2	2
C11orf87	0	2	2	2	0
ZC3H12C	1	1	1	1	1
RDX	1	1	1	1	1
FDX1	1	1	1	1	1
ARHGAP20	0	0	2	2	2
COLCA2	2	2	0	0	2
COLCA1	1	2	2	0	0
POU2AF1	1	2	0	2	0
C11orf88	0	0	0	2	0
LAYN	2	0	1	2	1
SIK2	1	1	1	2	1
PPP2R1B	1	1	1	2	1
ALG9;C11orf1	1	1	1	1	1
FDXACB1	1	1	1	2	1
CRYAB;C11orf52;HSPB2	1	1	1	2	1
DIXDC1	1	1	1	2	1
DLAT	1	1	1	2	1
C11orf57;PIH1D2	1	1	1	2	1
SDHD;TIMM8B	1	1	1	1	1
IL18;TEX12	0	1	1	2	1
BCO2	0	1	1	0	1
PTS	1	1	1	2	1
TTC12	1	1	2	1	1
ANKK1	0	0	0	2	0
DRD2	0	0	0	2	1
ZW10	1	1	1	1	1
USP28	2	1	1	1	1
ZBTB16	2	2	1	2	1
NNMT	0	1	1	0	0
C11orf71;RBM7	2	1	1	1	1
REXO2	2	1	1	1	1
NXPE2	0	1	0	2	0
MUC5AC	0	1	0	2	0
CADM1	0	0	1	1	2
GALNT18	1	2	1	2	1
BUD13	1	1	1	2	1
SIK3	1	1	1	2	1
PAFAH1B2	2	1	1	2	1
SIDT2	2	1	2	2	1
TAGLN	0	1	1	2	0
PCSK7;RNF214	1	1	1	2	1
BACE1	2	1	1	1	1
CEP164	2	1	1	1	1
DSCAML1	1	1	0	0	0
FXYD2	1	0	1	2	0
FXYD6;FXYD6-FXYD2	1	1	1	2	1
TMPRSS13	0	0	0	1	0
IL10RA	1	0	1	2	1
TMPRSS4	1	0	0	2	0
SCN4B	0	0	1	2	0
SCN2B	0	0	0	2	0
MPZL3	1	1	1	2	1
MPZL2	1	2	1	2	1
CD3E	1	0	0	0	1
CD3D;CD3G	1	0	0	0	1
UBE4A	1	1	1	2	1
ATP5L	1	1	1	1	1
KMT2A	1	1	1	1	1
TMEM25	1	1	1	1	1
IFT46	1	1	1	1	1
ARCN1	1	1	1	1	1
PHLDB1	1	1	1	1	1
USP47	1	1	1	1	1
DDX6	1	1	1	1	1
CXCR5	1	0	0	0	0
BCL9L	1	1	1	1	1
UPK2	0	1	0	1	0
CCDC84	1	1	1	1	1
RPS25;TRAPPC4	1	1	1	1	1
SLC37A4	1	1	1	1	1
HYOU1	1	1	1	1	1
VPS11	1	1	1	1	1
HMBS	1	1	1	1	1
H2AFX	1	1	1	1	1
C2CD2L;DPAGT1	1	1	1	1	1
HINFP	1	1	1	1	1
ABCG4	0	1	1	1	0
NLRX1	1	1	1	1	1
CCDC153	1	1	1	1	1
CBL	1	1	1	1	1
MCAM	1	1	1	1	1
RNF26	1	1	1	1	1
C1QTNF5	0	1	1	0	0
USP2	1	1	1	1	1
THY1	1	1	1	1	1
TRIM29	0	2	0	2	1
OAF	2	2	1	2	1
POU2F3	2	2	2	2	1
TMEM136	2	2	2	2	1
ARHGEF12	2	2	2	2	1
DKK3	0	1	1	1	0
GRIK4	2	2	2	0	1
TBCEL	1	1	1	1	1
SC5D	1	1	1	1	1
MICAL2	1	1	1	1	1
SORL1	1	1	1	1	2
UBASH3B	2	1	1	2	1
CRTAM	2	0	0	0	0
C11orf63	1	1	2	2	0
BSX	2	2	2	2	2
HSPA8	2	1	1	1	1
MICALCL	0	1	1	1	0
CLMP	0	1	1	1	0
SCN3B	2	1	1	1	0
ZNF202	1	1	1	1	1
PARVA	2	1	1	1	0
VWA5A	2	1	1	1	1
TBRG1	1	1	1	2	2
SIAE	1	1	1	2	1
NRGN	1	1	1	2	2
VSIG2	0	1	0	2	0
ESAM	1	1	1	0	2
MSANTD2	1	1	1	2	2
ROBO4	0	1	1	2	0
HEPACAM	1	2	0	2	0
CCDC15	1	1	1	2	2
SLC37A2	1	0	1	2	2
TMEM218	1	1	1	2	1
PKNOX2	2	1	1	1	1
FEZ1	1	1	1	1	1
EI24	1	1	2	1	1
STT3A	2	1	2	1	1
CHEK1	2	1	1	1	1
DDX25;PUS3	2	1	1	2	1
CDON	2	1	1	1	1
FAM118B;RPUSD4	2	1	1	1	1
FOXRED1	2	1	1	1	1
TIRAP	2	1	1	1	1
DCPS	2	1	1	1	1
ST3GAL4	2	1	2	1	1
KIRREL3	0	1	0	2	0
TEAD1	1	1	1	1	1
ETS1	2	1	1	2	1
